
=== Experiment 13: full David-review stopping-rule comparison ===
# T4 fits OLS to the preceding log-dQ window and compares the current trend-extrapolation residual with the fitted-residual scale. T5 applies CUSUM/SR to the same standardized residual stream; h is calibrated once on ER nulls, rather than swept per real graph.
# `mad` uses 1.4826*MAD and suppresses a near-flat window when its relative scale is below 1e-6; `defer` begins testing only after no mergeable singleton community remains. BM-native-stop is separate: it tests Eq. 6 on CNM's selected community pair with adaptive tau.
dataset	method	modifier	W	parameter	sided	stop_at	of_merges	stop_frac	K_all	K_ge3	Q	F1	NMI	frac_nonsingleton
    ...5000 merges, heap 71026, nbr_entries 89736 (max deg 67), 31 ms
    ...5000 merges, heap 70739, nbr_entries 89450 (max deg 56), 25 ms
    ...5000 merges, heap 70811, nbr_entries 89440 (max deg 52), 27 ms
    ...5000 merges, heap 69124, nbr_entries 90102 (max deg 57), 27 ms
    ...5000 merges, heap 69775, nbr_entries 90366 (max deg 90), 26 ms
    ...5000 merges, heap 69119, nbr_entries 89932 (max deg 60), 29 ms
    ...5000 merges, heap 71568, nbr_entries 90000 (max deg 43), 31 ms
    ...5000 merges, heap 68499, nbr_entries 90382 (max deg 46), 30 ms
    ...5000 merges, heap 69601, nbr_entries 90090 (max deg 51), 26 ms
    ...5000 merges, heap 69609, nbr_entries 90546 (max deg 47), 27 ms
# CUSUM calibration (delta=1, W=15): selected h=50.000 by the >=90% mean-ARL rule.
CALIBRATION	T5-cusum	-	15	2.000	1	30.725	4489.500	0.007	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	5.000	1	46.075	4489.500	0.010	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	10.000	1	77.300	4489.500	0.017	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	20.000	1	2009.100	4489.500	0.448	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	50.000	1	4233.375	4489.500	0.943	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	100.000	1	4489.500	4489.500	1.000	NA	NA	NA	NA	NA	NA
CALIBRATION	T5-cusum	-	15	200.000	1	4489.500	4489.500	1.000	NA	NA	NA	NA	NA	NA
ER-1000	T1-2sided-k1	none	10	1.000	2	10.000	991.500	0.010	990.000	0.000	0.001	NA	NA	0.020
ER-1000	T2-short-1sided	none	5	5.000	1	26.400	991.500	0.027	973.600	0.600	0.004	NA	NA	0.052
ER-1000	T3-diff-1sided	none	15	3.000	1	34.900	991.500	0.035	965.100	0.600	0.006	NA	NA	0.069
ER-1000	T4-detrend-1sided	none	10	1.000	1	16.600	991.500	0.017	983.400	0.400	0.002	NA	NA	0.033
ER-1000	T4-detrend-2sided	none	10	1.000	2	11.000	991.500	0.011	989.000	0.000	0.001	NA	NA	0.022
ER-1000	T4-detrend-1sided	none	10	2.000	1	22.400	991.500	0.023	977.600	0.500	0.003	NA	NA	0.044
ER-1000	T4-detrend-2sided	none	10	2.000	2	13.000	991.500	0.013	987.000	0.000	0.001	NA	NA	0.026
ER-1000	T4-detrend-1sided	none	10	3.000	1	27.700	991.500	0.028	972.300	0.600	0.005	NA	NA	0.055
ER-1000	T4-detrend-2sided	none	10	3.000	2	18.500	991.500	0.019	981.500	0.000	0.003	NA	NA	0.037
ER-1000	T4-detrend-1sided	none	15	1.000	1	20.900	991.500	0.021	979.100	0.400	0.003	NA	NA	0.041
ER-1000	T4-detrend-2sided	none	15	1.000	2	15.600	991.500	0.016	984.400	0.200	0.002	NA	NA	0.031
ER-1000	T4-detrend-1sided	none	15	2.000	1	32.000	991.500	0.032	968.000	0.600	0.005	NA	NA	0.063
ER-1000	T4-detrend-2sided	none	15	2.000	2	22.000	991.500	0.022	978.000	0.200	0.003	NA	NA	0.044
ER-1000	T4-detrend-1sided	none	15	3.000	1	33.400	991.500	0.034	966.600	0.600	0.006	NA	NA	0.066
ER-1000	T4-detrend-2sided	none	15	3.000	2	28.500	991.500	0.029	971.500	0.200	0.005	NA	NA	0.057
ER-1000	T4-detrend-1sided	none	20	1.000	1	35.000	991.500	0.035	965.000	0.700	0.006	NA	NA	0.069
ER-1000	T4-detrend-2sided	none	20	1.000	2	24.700	991.500	0.025	975.300	0.300	0.004	NA	NA	0.049
ER-1000	T4-detrend-1sided	none	20	2.000	1	47.700	991.500	0.048	952.300	1.600	0.009	NA	NA	0.094
ER-1000	T4-detrend-2sided	none	20	2.000	2	29.700	991.500	0.030	970.300	0.300	0.005	NA	NA	0.059
ER-1000	T4-detrend-1sided	none	20	3.000	1	79.000	991.500	0.080	921.000	2.700	0.015	NA	NA	0.155
ER-1000	T4-detrend-2sided	none	20	3.000	2	41.700	991.500	0.042	958.300	0.300	0.007	NA	NA	0.083
ER-1000	T5-cusum	none	15	50.000	1	991.500	991.500	1.000	8.500	8.400	0.276	NA	NA	1.000
ER-1000	T5-sr	none	15	50.000	1	33.600	991.500	0.034	966.400	0.600	0.006	NA	NA	0.066
ER-1000	T1-2sided-k1	defer	10	1.000	2	957.500	991.500	0.966	42.500	27.700	0.268	NA	NA	1.000
ER-1000	T2-short-1sided	defer	5	5.000	1	979.200	991.500	0.988	20.800	17.900	0.274	NA	NA	1.000
ER-1000	T3-diff-1sided	defer	15	3.000	1	985.100	991.500	0.994	14.900	12.300	0.275	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	10	1.000	1	960.800	991.500	0.969	39.200	26.500	0.269	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	10	1.000	2	958.000	991.500	0.966	42.000	28.300	0.268	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	10	2.000	1	966.500	991.500	0.975	33.500	24.100	0.271	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	10	2.000	2	959.400	991.500	0.968	40.600	27.500	0.269	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	10	3.000	1	977.300	991.500	0.986	22.700	19.300	0.273	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	10	3.000	2	961.800	991.500	0.970	38.200	26.100	0.270	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	15	1.000	1	961.200	991.500	0.969	38.800	26.900	0.269	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	15	1.000	2	957.200	991.500	0.965	42.800	28.000	0.268	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	15	2.000	1	972.000	991.500	0.980	28.000	20.500	0.272	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	15	2.000	2	960.700	991.500	0.969	39.300	26.900	0.269	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	15	3.000	1	980.000	991.500	0.988	20.000	17.700	0.274	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	15	3.000	2	965.500	991.500	0.974	34.500	25.500	0.270	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	20	1.000	1	961.500	991.500	0.970	38.500	26.000	0.269	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	20	1.000	2	957.600	991.500	0.966	42.400	27.800	0.268	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	20	2.000	1	973.100	991.500	0.981	26.900	19.700	0.272	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	20	2.000	2	961.200	991.500	0.969	38.800	26.600	0.269	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer	20	3.000	1	984.400	991.500	0.993	15.600	13.800	0.275	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer	20	3.000	2	970.300	991.500	0.979	29.700	24.400	0.271	NA	NA	1.000
ER-1000	T5-cusum	defer	15	50.000	1	991.500	991.500	1.000	8.500	8.400	0.276	NA	NA	1.000
ER-1000	T5-sr	defer	15	50.000	1	972.300	991.500	0.981	27.700	20.600	0.272	NA	NA	1.000
ER-1000	T1-2sided-k1	mad	10	1.000	2	10.400	991.500	0.010	989.600	0.000	0.001	NA	NA	0.021
ER-1000	T2-short-1sided	mad	5	5.000	1	41.000	991.500	0.041	959.000	1.400	0.007	NA	NA	0.080
ER-1000	T3-diff-1sided	mad	15	3.000	1	80.800	991.500	0.081	919.200	2.800	0.015	NA	NA	0.158
ER-1000	T4-detrend-1sided	mad	10	1.000	1	17.300	991.500	0.017	982.700	0.400	0.002	NA	NA	0.034
ER-1000	T4-detrend-2sided	mad	10	1.000	2	10.600	991.500	0.011	989.400	0.000	0.001	NA	NA	0.021
ER-1000	T4-detrend-1sided	mad	10	2.000	1	19.400	991.500	0.020	980.600	0.400	0.003	NA	NA	0.038
ER-1000	T4-detrend-2sided	mad	10	2.000	2	16.200	991.500	0.016	983.800	0.000	0.002	NA	NA	0.032
ER-1000	T4-detrend-1sided	mad	10	3.000	1	21.700	991.500	0.022	978.300	0.400	0.003	NA	NA	0.043
ER-1000	T4-detrend-2sided	mad	10	3.000	2	19.000	991.500	0.019	981.000	0.000	0.003	NA	NA	0.038
ER-1000	T4-detrend-1sided	mad	15	1.000	1	20.900	991.500	0.021	979.100	0.400	0.003	NA	NA	0.041
ER-1000	T4-detrend-2sided	mad	15	1.000	2	15.400	991.500	0.016	984.600	0.200	0.002	NA	NA	0.030
ER-1000	T4-detrend-1sided	mad	15	2.000	1	26.700	991.500	0.027	973.300	0.400	0.004	NA	NA	0.053
ER-1000	T4-detrend-2sided	mad	15	2.000	2	19.200	991.500	0.019	980.800	0.200	0.003	NA	NA	0.038
ER-1000	T4-detrend-1sided	mad	15	3.000	1	30.100	991.500	0.030	969.900	0.500	0.005	NA	NA	0.059
ER-1000	T4-detrend-2sided	mad	15	3.000	2	28.400	991.500	0.029	971.600	0.200	0.005	NA	NA	0.056
ER-1000	T4-detrend-1sided	mad	20	1.000	1	27.300	991.500	0.028	972.700	0.400	0.004	NA	NA	0.054
ER-1000	T4-detrend-2sided	mad	20	1.000	2	20.600	991.500	0.021	979.400	0.300	0.003	NA	NA	0.041
ER-1000	T4-detrend-1sided	mad	20	2.000	1	34.400	991.500	0.035	965.600	0.600	0.006	NA	NA	0.068
ER-1000	T4-detrend-2sided	mad	20	2.000	2	26.100	991.500	0.026	973.900	0.300	0.004	NA	NA	0.052
ER-1000	T4-detrend-1sided	mad	20	3.000	1	42.200	991.500	0.043	957.800	1.000	0.007	NA	NA	0.083
ER-1000	T4-detrend-2sided	mad	20	3.000	2	33.700	991.500	0.034	966.300	0.400	0.006	NA	NA	0.067
ER-1000	T5-cusum	mad	15	50.000	1	58.100	991.500	0.059	941.900	1.900	0.011	NA	NA	0.114
ER-1000	T5-sr	mad	15	50.000	1	28.700	991.500	0.029	971.300	0.400	0.005	NA	NA	0.057
ER-1000	T1-2sided-k1	defer+mad	10	1.000	2	957.100	991.500	0.965	42.900	27.700	0.268	NA	NA	1.000
ER-1000	T2-short-1sided	defer+mad	5	5.000	1	964.300	991.500	0.973	35.700	24.400	0.270	NA	NA	1.000
ER-1000	T3-diff-1sided	defer+mad	15	3.000	1	969.200	991.500	0.978	30.800	25.200	0.271	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	10	1.000	1	960.000	991.500	0.968	40.000	26.700	0.269	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	10	1.000	2	957.600	991.500	0.966	42.400	27.900	0.268	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	10	2.000	1	962.300	991.500	0.971	37.700	26.200	0.270	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	10	2.000	2	958.800	991.500	0.967	41.200	27.600	0.269	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	10	3.000	1	965.200	991.500	0.973	34.800	24.900	0.270	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	10	3.000	2	961.200	991.500	0.969	38.800	27.200	0.269	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	15	1.000	1	960.400	991.500	0.969	39.600	27.400	0.269	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	15	1.000	2	957.300	991.500	0.966	42.700	28.000	0.268	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	15	2.000	1	968.800	991.500	0.977	31.200	22.700	0.271	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	15	2.000	2	960.400	991.500	0.969	39.600	27.100	0.269	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	15	3.000	1	976.600	991.500	0.985	23.400	19.900	0.273	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	15	3.000	2	963.800	991.500	0.972	36.200	25.200	0.270	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	20	1.000	1	961.300	991.500	0.970	38.700	26.600	0.269	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	20	1.000	2	957.400	991.500	0.966	42.600	27.900	0.268	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	20	2.000	1	969.600	991.500	0.978	30.400	21.800	0.271	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	20	2.000	2	960.700	991.500	0.969	39.300	26.700	0.269	NA	NA	1.000
ER-1000	T4-detrend-1sided	defer+mad	20	3.000	1	981.100	991.500	0.990	18.900	15.900	0.274	NA	NA	1.000
ER-1000	T4-detrend-2sided	defer+mad	20	3.000	2	968.500	991.500	0.977	31.500	26.000	0.271	NA	NA	1.000
ER-1000	T5-cusum	defer+mad	15	50.000	1	991.500	991.500	1.000	8.500	8.400	0.276	NA	NA	1.000
ER-1000	T5-sr	defer+mad	15	50.000	1	969.500	991.500	0.978	30.500	22.400	0.271	NA	NA	1.000
ER-1000	BM-native-stop	-	0	2.000	1	253.700	991.500	0.256	746.300	15.200	0.051	NA	NA	0.489
ER-1000	cm-baseline	-	0	1.000	1	0.000	991.500	0.000	1000.000	0.000	-0.001	NA	NA	0.000
ER-1000	cm-baseline	-	0	5.000	1	0.000	991.500	0.000	1000.000	0.000	-0.001	NA	NA	0.000
ER-1000	cm-baseline	-	0	10.000	1	0.000	991.500	0.000	1000.000	0.000	-0.001	NA	NA	0.000
ER-1000	cm-baseline	-	0	50.000	1	0.000	991.500	0.000	1000.000	0.000	-0.001	NA	NA	0.000
ER-2000	T1-2sided-k1	none	10	1.000	2	10.600	1990.100	0.005	1989.400	0.000	0.001	NA	NA	0.011
ER-2000	T2-short-1sided	none	5	5.000	1	13.700	1990.100	0.007	1986.300	0.100	0.001	NA	NA	0.014
ER-2000	T3-diff-1sided	none	15	3.000	1	51.500	1990.100	0.026	1948.500	0.200	0.005	NA	NA	0.051
ER-2000	T4-detrend-1sided	none	10	1.000	1	15.100	1990.100	0.008	1984.900	0.100	0.001	NA	NA	0.015
ER-2000	T4-detrend-2sided	none	10	1.000	2	10.800	1990.100	0.005	1989.200	0.100	0.001	NA	NA	0.011
ER-2000	T4-detrend-1sided	none	10	2.000	1	16.400	1990.100	0.008	1983.600	0.100	0.001	NA	NA	0.016
ER-2000	T4-detrend-2sided	none	10	2.000	2	15.300	1990.100	0.008	1984.700	0.100	0.001	NA	NA	0.015
ER-2000	T4-detrend-1sided	none	10	3.000	1	25.600	1990.100	0.013	1974.400	0.200	0.002	NA	NA	0.025
ER-2000	T4-detrend-2sided	none	10	3.000	2	23.400	1990.100	0.012	1976.600	0.100	0.002	NA	NA	0.023
ER-2000	T4-detrend-1sided	none	15	1.000	1	23.900	1990.100	0.012	1976.100	0.200	0.002	NA	NA	0.024
ER-2000	T4-detrend-2sided	none	15	1.000	2	16.900	1990.100	0.008	1983.100	0.100	0.001	NA	NA	0.017
ER-2000	T4-detrend-1sided	none	15	2.000	1	33.100	1990.100	0.017	1966.900	0.300	0.003	NA	NA	0.033
ER-2000	T4-detrend-2sided	none	15	2.000	2	24.000	1990.100	0.012	1976.000	0.100	0.002	NA	NA	0.024
ER-2000	T4-detrend-1sided	none	15	3.000	1	48.700	1990.100	0.024	1951.300	0.300	0.004	NA	NA	0.049
ER-2000	T4-detrend-2sided	none	15	3.000	2	43.100	1990.100	0.022	1956.900	0.100	0.004	NA	NA	0.043
ER-2000	T4-detrend-1sided	none	20	1.000	1	33.600	1990.100	0.017	1966.400	0.200	0.003	NA	NA	0.033
ER-2000	T4-detrend-2sided	none	20	1.000	2	22.000	1990.100	0.011	1978.000	0.200	0.002	NA	NA	0.022
ER-2000	T4-detrend-1sided	none	20	2.000	1	46.100	1990.100	0.023	1953.900	0.300	0.004	NA	NA	0.046
ER-2000	T4-detrend-2sided	none	20	2.000	2	31.000	1990.100	0.016	1969.000	0.200	0.003	NA	NA	0.031
ER-2000	T4-detrend-1sided	none	20	3.000	1	62.700	1990.100	0.032	1937.300	0.600	0.006	NA	NA	0.062
ER-2000	T4-detrend-2sided	none	20	3.000	2	53.100	1990.100	0.027	1946.900	0.200	0.005	NA	NA	0.053
ER-2000	T5-cusum	none	15	50.000	1	1863.500	1990.100	0.936	136.500	35.000	0.254	NA	NA	0.989
ER-2000	T5-sr	none	15	50.000	1	42.000	1990.100	0.021	1958.000	0.300	0.004	NA	NA	0.042
ER-2000	T1-2sided-k1	defer	10	1.000	2	1880.000	1990.100	0.945	120.000	80.600	0.259	NA	NA	1.000
ER-2000	T2-short-1sided	defer	5	5.000	1	1929.800	1990.100	0.970	70.200	46.800	0.266	NA	NA	1.000
ER-2000	T3-diff-1sided	defer	15	3.000	1	1928.700	1990.100	0.969	71.300	48.500	0.267	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	10	1.000	1	1884.700	1990.100	0.947	115.300	78.300	0.260	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	10	1.000	2	1879.600	1990.100	0.944	120.400	80.700	0.259	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	10	2.000	1	1893.700	1990.100	0.952	106.300	74.500	0.261	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	10	2.000	2	1882.500	1990.100	0.946	117.500	78.800	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	10	3.000	1	1924.200	1990.100	0.967	75.800	53.600	0.266	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	10	3.000	2	1897.500	1990.100	0.953	102.500	72.300	0.262	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	15	1.000	1	1886.300	1990.100	0.948	113.700	77.800	0.260	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	15	1.000	2	1880.800	1990.100	0.945	119.200	81.000	0.259	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	15	2.000	1	1898.100	1990.100	0.954	101.900	70.300	0.262	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	15	2.000	2	1887.800	1990.100	0.949	112.200	76.400	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	15	3.000	1	1946.500	1990.100	0.978	53.500	40.100	0.269	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	15	3.000	2	1907.200	1990.100	0.958	92.800	67.000	0.263	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	20	1.000	1	1887.100	1990.100	0.948	112.900	76.400	0.260	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	20	1.000	2	1879.900	1990.100	0.945	120.100	80.100	0.259	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	20	2.000	1	1913.200	1990.100	0.961	86.800	63.900	0.265	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	20	2.000	2	1886.800	1990.100	0.948	113.200	76.600	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer	20	3.000	1	1942.800	1990.100	0.976	57.200	40.800	0.269	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer	20	3.000	2	1916.300	1990.100	0.963	83.700	60.100	0.265	NA	NA	1.000
ER-2000	T5-cusum	defer	15	50.000	1	1990.100	1990.100	1.000	9.900	9.800	0.275	NA	NA	1.000
ER-2000	T5-sr	defer	15	50.000	1	1897.700	1990.100	0.954	102.300	72.400	0.262	NA	NA	1.000
ER-2000	T1-2sided-k1	mad	10	1.000	2	10.500	1990.100	0.005	1989.500	0.000	0.001	NA	NA	0.010
ER-2000	T2-short-1sided	mad	5	5.000	1	199.700	1990.100	0.100	1800.300	4.400	0.020	NA	NA	0.198
ER-2000	T3-diff-1sided	mad	15	3.000	1	196.700	1990.100	0.099	1803.300	5.700	0.019	NA	NA	0.194
ER-2000	T4-detrend-1sided	mad	10	1.000	1	15.100	1990.100	0.008	1984.900	0.100	0.001	NA	NA	0.015
ER-2000	T4-detrend-2sided	mad	10	1.000	2	10.900	1990.100	0.005	1989.100	0.000	0.001	NA	NA	0.011
ER-2000	T4-detrend-1sided	mad	10	2.000	1	16.400	1990.100	0.008	1983.600	0.100	0.001	NA	NA	0.016
ER-2000	T4-detrend-2sided	mad	10	2.000	2	15.200	1990.100	0.008	1984.800	0.100	0.001	NA	NA	0.015
ER-2000	T4-detrend-1sided	mad	10	3.000	1	23.900	1990.100	0.012	1976.100	0.200	0.002	NA	NA	0.024
ER-2000	T4-detrend-2sided	mad	10	3.000	2	23.400	1990.100	0.012	1976.600	0.100	0.002	NA	NA	0.023
ER-2000	T4-detrend-1sided	mad	15	1.000	1	23.100	1990.100	0.012	1976.900	0.200	0.002	NA	NA	0.023
ER-2000	T4-detrend-2sided	mad	15	1.000	2	16.000	1990.100	0.008	1984.000	0.100	0.001	NA	NA	0.016
ER-2000	T4-detrend-1sided	mad	15	2.000	1	33.000	1990.100	0.017	1967.000	0.200	0.003	NA	NA	0.033
ER-2000	T4-detrend-2sided	mad	15	2.000	2	25.400	1990.100	0.013	1974.600	0.100	0.002	NA	NA	0.025
ER-2000	T4-detrend-1sided	mad	15	3.000	1	41.500	1990.100	0.021	1958.500	0.200	0.004	NA	NA	0.041
ER-2000	T4-detrend-2sided	mad	15	3.000	2	40.100	1990.100	0.020	1959.900	0.100	0.003	NA	NA	0.040
ER-2000	T4-detrend-1sided	mad	20	1.000	1	31.600	1990.100	0.016	1968.400	0.200	0.003	NA	NA	0.032
ER-2000	T4-detrend-2sided	mad	20	1.000	2	20.100	1990.100	0.010	1979.900	0.200	0.001	NA	NA	0.020
ER-2000	T4-detrend-1sided	mad	20	2.000	1	42.700	1990.100	0.021	1957.300	0.200	0.004	NA	NA	0.043
ER-2000	T4-detrend-2sided	mad	20	2.000	2	26.200	1990.100	0.013	1973.800	0.200	0.002	NA	NA	0.026
ER-2000	T4-detrend-1sided	mad	20	3.000	1	54.800	1990.100	0.028	1945.200	0.300	0.005	NA	NA	0.055
ER-2000	T4-detrend-2sided	mad	20	3.000	2	53.900	1990.100	0.027	1946.100	0.200	0.005	NA	NA	0.054
ER-2000	T5-cusum	mad	15	50.000	1	126.100	1990.100	0.063	1873.900	2.100	0.012	NA	NA	0.125
ER-2000	T5-sr	mad	15	50.000	1	36.500	1990.100	0.018	1963.500	0.200	0.003	NA	NA	0.036
ER-2000	T1-2sided-k1	defer+mad	10	1.000	2	1878.300	1990.100	0.944	121.700	79.700	0.259	NA	NA	1.000
ER-2000	T2-short-1sided	defer+mad	5	5.000	1	1886.500	1990.100	0.948	113.500	75.300	0.260	NA	NA	1.000
ER-2000	T3-diff-1sided	defer+mad	15	3.000	1	1887.400	1990.100	0.948	112.600	76.300	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	10	1.000	1	1882.700	1990.100	0.946	117.300	79.100	0.260	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	10	1.000	2	1880.300	1990.100	0.945	119.700	80.200	0.259	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	10	2.000	1	1887.800	1990.100	0.949	112.200	76.300	0.260	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	10	2.000	2	1882.100	1990.100	0.946	117.900	79.500	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	10	3.000	1	1901.800	1990.100	0.956	98.200	69.000	0.263	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	10	3.000	2	1886.000	1990.100	0.948	114.000	77.900	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	15	1.000	1	1881.800	1990.100	0.946	118.200	77.100	0.260	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	15	1.000	2	1878.500	1990.100	0.944	121.500	79.500	0.259	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	15	2.000	1	1888.100	1990.100	0.949	111.900	75.200	0.261	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	15	2.000	2	1882.600	1990.100	0.946	117.400	76.900	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	15	3.000	1	1907.400	1990.100	0.958	92.600	62.400	0.263	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	15	3.000	2	1886.200	1990.100	0.948	113.800	76.800	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	20	1.000	1	1881.900	1990.100	0.946	118.100	77.600	0.260	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	20	1.000	2	1878.300	1990.100	0.944	121.700	79.700	0.259	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	20	2.000	1	1901.600	1990.100	0.956	98.400	66.500	0.263	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	20	2.000	2	1887.200	1990.100	0.948	112.800	74.400	0.260	NA	NA	1.000
ER-2000	T4-detrend-1sided	defer+mad	20	3.000	1	1925.500	1990.100	0.968	74.500	53.200	0.266	NA	NA	1.000
ER-2000	T4-detrend-2sided	defer+mad	20	3.000	2	1889.600	1990.100	0.950	110.400	73.300	0.261	NA	NA	1.000
ER-2000	T5-cusum	defer+mad	15	50.000	1	1970.600	1990.100	0.990	29.400	23.300	0.272	NA	NA	1.000
ER-2000	T5-sr	defer+mad	15	50.000	1	1887.000	1990.100	0.948	113.000	76.200	0.260	NA	NA	1.000
ER-2000	BM-native-stop	-	0	2.000	1	790.400	1990.100	0.397	1209.600	80.200	0.082	NA	NA	0.739
ER-2000	cm-baseline	-	0	1.000	1	0.000	1990.100	0.000	2000.000	0.000	-0.001	NA	NA	0.000
ER-2000	cm-baseline	-	0	5.000	1	0.000	1990.100	0.000	2000.000	0.000	-0.001	NA	NA	0.000
ER-2000	cm-baseline	-	0	10.000	1	0.000	1990.100	0.000	2000.000	0.000	-0.001	NA	NA	0.000
ER-2000	cm-baseline	-	0	50.000	1	0.000	1990.100	0.000	2000.000	0.000	-0.001	NA	NA	0.000
ER-5000	T1-2sided-k1	none	10	1.000	2	10.000	4989.500	0.002	4990.000	0.000	0.000	NA	NA	0.004
ER-5000	T2-short-1sided	none	5	5.000	1	144.700	4989.500	0.029	4855.300	2.000	0.006	NA	NA	0.057
ER-5000	T3-diff-1sided	none	15	3.000	1	51.200	4989.500	0.010	4948.800	0.200	0.002	NA	NA	0.020
ER-5000	T4-detrend-1sided	none	10	1.000	1	17.900	4989.500	0.004	4982.100	0.100	0.000	NA	NA	0.007
ER-5000	T4-detrend-2sided	none	10	1.000	2	10.400	4989.500	0.002	4989.600	0.000	0.000	NA	NA	0.004
ER-5000	T4-detrend-1sided	none	10	2.000	1	23.100	4989.500	0.005	4976.900	0.100	0.001	NA	NA	0.009
ER-5000	T4-detrend-2sided	none	10	2.000	2	18.400	4989.500	0.004	4981.600	0.100	0.001	NA	NA	0.007
ER-5000	T4-detrend-1sided	none	10	3.000	1	27.400	4989.500	0.005	4972.600	0.100	0.001	NA	NA	0.011
ER-5000	T4-detrend-2sided	none	10	3.000	2	27.400	4989.500	0.005	4972.600	0.100	0.001	NA	NA	0.011
ER-5000	T4-detrend-1sided	none	15	1.000	1	26.200	4989.500	0.005	4973.800	0.100	0.001	NA	NA	0.010
ER-5000	T4-detrend-2sided	none	15	1.000	2	16.200	4989.500	0.003	4983.800	0.100	0.000	NA	NA	0.006
